Timestamp,CPU_Usage,Memory_Usage
12/01/2025 20:28,0,54.3
12/01/2025 20:30,23.7,54.9
12/01/2025 20:32,23.8,55.1
12/01/2025 20:34,23.7,55.6
12/01/2025 20:36,25,55.5
12/01/2025 20:38,23.9,55.3
12/01/2025 20:40,23.7,55.6
12/01/2025 20:42,23.5,55.6
12/01/2025 20:44,24.4,59.5
12/01/2025 20:46,24.1,55.5
12/01/2025 20:48,23.8,55.7
12/01/2025 20:50,23.7,55.8
12/01/2025 20:52,24.3,56.2
12/01/2025 20:54,24.7,59.8
12/01/2025 20:56,23.8,56
12/01/2025 20:58,23.9,56.3
12/01/2025 21:00,23.4,56.3
12/01/2025 21:02,23.6,60.1
12/01/2025 21:04,24.4,60.1
12/01/2025 21:06,23.6,55.8
12/01/2025 21:08,23.2,55.9
12/01/2025 21:10,23,56.1
12/01/2025 21:12,24.1,56.2
12/01/2025 21:14,22.9,56
12/01/2025 21:16,23.7,56.5
12/01/2025 21:18,23.9,60.3
12/01/2025 21:20,24.1,56.3
12/01/2025 21:22,23.5,56.3
12/01/2025 21:24,24.6,56.7
12/01/2025 21:26,24.6,56.2
12/01/2025 21:28,23.1,56.2
12/01/2025 21:30,23.2,56.3
12/01/2025 21:32,24.3,60.1
12/01/2025 21:34,23.8,56.2
12/01/2025 21:36,23.6,56.4
12/01/2025 21:38,24.8,59.4
12/01/2025 21:40,25,56.6
12/01/2025 21:42,23.5,56.6
12/01/2025 21:44,23.5,56.5
12/01/2025 21:46,23.9,59.6
12/01/2025 21:48,23.8,56.8
12/01/2025 21:50,23.7,56.7
12/01/2025 21:52,23.7,60.7
12/01/2025 21:54,24.5,56.8
12/01/2025 21:56,23.9,56.5
12/01/2025 21:58,23.7,57.2
12/01/2025 22:00,24.8,60.6
12/01/2025 22:02,24.1,56.5
12/01/2025 22:04,23.2,56.7
12/01/2025 22:06,23.1,60.6
12/01/2025 22:08,25.4,56.9
12/01/2025 22:10,23.2,56.7
12/01/2025 22:12,23.4,57.1
12/01/2025 22:14,23.2,60.1
12/01/2025 22:16,25,57.4
12/01/2025 22:18,24.2,57.9
12/01/2025 22:20,22.3,57.6
12/01/2025 22:22,22,57.7
12/01/2025 22:24,23.8,61.3
12/01/2025 22:26,27.2,57.6
12/01/2025 22:28,24.1,57.9
12/01/2025 22:30,23.8,57.8
12/01/2025 22:32,23.6,57.5
12/01/2025 22:34,24.9,61
12/01/2025 22:36,22.9,57.8
12/01/2025 22:38,23.6,58.1
12/01/2025 22:40,23.6,58.7
12/01/2025 22:42,23.4,61.5
12/01/2025 22:44,24.6,57.7
12/01/2025 22:46,24.2,57.6
12/01/2025 22:48,24.4,57.6
12/01/2025 22:50,24.2,57.5
12/01/2025 22:52,24.1,57.4
12/01/2025 22:54,24.9,61.6
12/01/2025 22:56,23.6,57.5
12/01/2025 22:58,23.5,57.6
12/01/2025 23:00,23.2,57.6
12/01/2025 23:02,23.6,60.4
12/01/2025 23:04,24,57.3
12/01/2025 23:06,23.4,57.8
12/01/2025 23:08,22.7,57.7
12/01/2025 23:10,23.5,57.7
12/01/2025 23:12,24.6,60.8
12/01/2025 23:14,23.9,57.6
12/01/2025 23:16,24,57.8
12/01/2025 23:18,23.3,58
12/01/2025 23:20,23.1,58.4
12/01/2025 23:22,24.6,61.2
12/01/2025 23:24,23.8,58.1
12/01/2025 23:26,23.1,58.2
12/01/2025 23:28,23.2,58.2
12/01/2025 23:30,23.7,61.3
12/01/2025 23:32,24.2,58.4
12/01/2025 23:34,23.3,58.3
12/01/2025 23:36,22.7,58.4
12/01/2025 23:38,23.1,58.5
12/01/2025 23:40,24.2,61.2
12/01/2025 23:42,23.5,58.4
12/01/2025 23:44,23.2,58.4
12/01/2025 23:46,23.5,58.9
12/01/2025 23:48,23.6,61
12/01/2025 23:50,24,58.1
12/01/2025 23:52,23.3,57.9
12/01/2025 23:54,24.2,58.3
12/01/2025 23:56,23.6,58.1
12/01/2025 23:58,24.6,61.8
13/01/2025 00:00,23.2,57.9
13/01/2025 00:02,24.2,58.1
13/01/2025 00:04,23.4,57.9
13/01/2025 00:06,22.8,62.1
13/01/2025 00:08,23.5,58.3
13/01/2025 00:10,23.2,58.2
13/01/2025 00:12,23.2,58.3
13/01/2025 00:14,23.7,61.3
13/01/2025 00:16,19.8,52.4
13/01/2025 00:18,0.4,52.8
13/01/2025 00:20,0.3,52.8
13/01/2025 00:22,0.3,53.2
13/01/2025 00:24,0.6,53.1
13/01/2025 00:26,0.3,52.8
13/01/2025 00:28,0.3,52.7
